record,event_occured_at,analysts_available,analysts_occupied,total_jobs_available,review_jobs_available,vetting_jobs_avaiable,planning_jobs_available,editing_jobs_available,sourcing_jobs_available,writing_jobs_available
608,2017-06-22 19:59:06,0,13,14,4,6,2,0,1,1
606,2017-06-22 19:59:02,1,13,15,5,6,2,0,1,1
663,2017-06-22 19:51:30,1,12,12,5,5,1,0,0,1
774,2017-06-22 19:51:01,1,11,12,5,5,1,0,0,1
673,2017-06-22 19:50:58,2,11,14,5,5,2,0,1,1
681,2017-06-22 19:50:58,2,11,14,5,5,2,0,1,1
773,2017-06-22 19:50:58,2,11,14,5,5,2,0,1,1
685,2017-06-22 19:50:23,1,11,14,5,5,2,0,1,1
767,2017-06-22 19:47:03,1,11,11,5,5,1,0,0,0
770,2017-06-22 19:46:56,2,12,13,5,5,2,0,1,0
599,2017-06-22 19:44:03,1,10,11,5,5,1,0,0,0
604,2017-06-22 19:44:01,2,10,12,6,5,1,0,0,0
682,2017-06-22 19:40:41,2,9,12,6,5,1,0,0,0
684,2017-06-22 19:40:37,3,9,13,6,5,1,0,0,1
788,2017-06-22 19:35:59,2,11,10,5,4,1,0,0,0
789,2017-06-22 19:35:56,3,11,11,5,5,1,0,0,0
745,2017-06-22 19:31:18,2,10,11,5,5,1,0,0,0
746,2017-06-22 19:31:15,2,10,13,5,5,2,0,1,0
786,2017-06-22 19:25:28,1,12,10,5,4,1,0,0,0
787,2017-06-22 19:25:25,2,12,11,5,5,1,0,0,0
785,2017-06-22 19:20:23,1,14,8,3,4,1,0,0,0
784,2017-06-22 19:20:09,2,14,9,3,5,1,0,0,0
783,2017-06-22 19:18:59,2,14,9,3,5,1,0,0,0
703,2017-06-22 19:15:06,1,15,9,3,5,1,0,0,0
781,2017-06-22 19:14:59,2,14,11,3,5,2,0,1,0
701,2017-06-22 19:14:53,3,14,12,3,6,2,0,1,0
782,2017-06-22 19:14:53,3,14,12,3,6,2,0,1,0
707,2017-06-22 19:09:03,2,14,11,2,6,2,0,1,0
711,2017-06-22 19:08:28,2,14,11,2,6,2,0,1,0
724,2017-06-22 19:08:28,2,14,11,2,6,2,0,1,0
558,2017-06-22 19:07:55,2,13,11,2,6,2,0,1,0
557,2017-06-22 19:07:53,3,13,12,3,6,2,0,1,0
722,2017-06-22 19:07:53,3,13,12,3,6,2,0,1,0
729,2017-06-22 19:06:14,2,13,10,3,6,1,0,0,0
741,2017-06-22 19:06:08,3,13,12,3,6,2,0,1,0
780,2017-06-22 19:00:59,3,13,9,3,6,0,0,0,0
779,2017-06-22 19:00:52,4,13,10,3,7,0,0,0,0
714,2017-06-22 19:00:19,2,12,10,3,7,0,0,0,0
715,2017-06-22 19:00:17,3,12,12,3,7,1,0,1,0
718,2017-06-22 18:59:12,2,12,10,3,7,0,0,0,0
727,2017-06-22 18:59:07,4,12,12,3,7,1,0,1,0
728,2017-06-22 18:59:07,4,12,12,3,7,1,0,1,0
725,2017-06-22 18:58:32,4,12,12,3,7,1,0,1,0
726,2017-06-22 18:58:32,4,12,12,3,7,1,0,1,0
706,2017-06-22 18:57:57,5,12,12,3,7,1,0,1,0
713,2017-06-22 18:57:57,5,12,12,3,7,1,0,1,0
708,2017-06-22 18:57:21,5,12,12,3,7,1,0,1,0
723,2017-06-22 18:57:21,5,12,12,3,7,1,0,1,0
709,2017-06-22 18:56:46,4,12,12,3,7,1,0,1,0
762,2017-06-22 18:37:07,2,14,8,1,7,0,0,0,0
760,2017-06-22 18:36:56,3,14,9,2,7,0,0,0,0
607,2017-06-22 18:29:23,3,14,9,2,7,0,0,0,0
605,2017-06-22 18:29:21,4,14,10,3,7,0,0,0,0
704,2017-06-22 18:26:42,2,14,9,2,7,0,0,0,0
702,2017-06-22 18:26:26,4,14,11,2,7,1,0,1,0
719,2017-06-22 18:26:26,4,14,11,2,7,1,0,1,0
712,2017-06-22 18:25:51,4,15,11,2,7,1,0,1,0
716,2017-06-22 18:25:51,4,15,11,2,7,1,0,1,0
717,2017-06-22 18:25:16,4,15,11,2,7,1,0,1,0
564,2017-06-22 17:47:20,6,17,4,1,3,0,0,0,0
563,2017-06-22 17:47:18,6,17,5,2,3,0,0,0,0
523,2017-06-22 17:26:53,2,18,4,1,3,0,0,0,0
522,2017-06-22 17:26:52,3,18,5,2,3,0,0,0,0
244,2017-06-22 17:19:35,2,17,5,2,3,0,0,0,0
671,2017-06-22 17:19:26,3,16,6,3,3,0,0,0,0
251,2017-06-22 17:19:16,4,16,7,3,3,0,0,0,1
669,2017-06-22 17:19:16,4,16,7,3,3,0,0,0,1
670,2017-06-22 17:19:16,4,16,7,3,3,0,0,0,1
667,2017-06-22 17:18:41,4,16,7,3,3,0,0,0,1
668,2017-06-22 17:18:41,4,16,7,3,3,0,0,0,1
666,2017-06-22 17:18:06,3,16,7,3,3,0,0,0,1
634,2017-06-22 17:12:54,3,16,6,3,3,0,0,0,0
672,2017-06-22 17:12:52,4,16,7,3,3,0,0,0,1
636,2017-06-22 17:12:50,5,16,8,4,3,0,0,0,1
664,2017-06-22 17:12:50,5,16,8,4,3,0,0,0,1
637,2017-06-22 17:04:42,2,15,7,4,3,0,0,0,0
629,2017-06-22 17:04:40,3,15,8,5,3,0,0,0,0
593,2017-06-22 17:04:12,2,14,8,5,3,0,0,0,0
596,2017-06-22 17:04:05,3,14,9,5,3,0,0,0,1
568,2017-06-22 17:03:03,2,14,8,5,3,0,0,0,0
574,2017-06-22 17:02:54,4,14,9,5,3,0,0,1,0
576,2017-06-22 17:02:54,4,14,9,5,3,0,0,1,0
573,2017-06-22 17:02:19,4,14,9,5,3,0,0,1,0
575,2017-06-22 17:02:19,4,14,9,5,3,0,0,1,0
569,2017-06-22 17:01:44,5,14,9,5,3,0,0,1,0
571,2017-06-22 17:01:44,5,14,9,5,3,0,0,1,0
570,2017-06-22 17:01:09,5,14,9,5,3,0,0,1,0
572,2017-06-22 17:01:09,5,14,9,5,3,0,0,1,0
567,2017-06-22 17:00:34,4,14,9,5,3,0,0,1,0
597,2017-06-22 16:53:00,3,14,5,5,0,0,0,0,0
594,2017-06-22 16:52:58,4,14,6,6,0,0,0,0,0
595,2017-06-22 16:46:32,4,14,6,6,0,0,0,0,0
539,2017-06-22 16:37:46,4,14,6,6,0,0,0,0,0
537,2017-06-22 16:37:43,5,14,7,7,0,0,0,0,0
777,2017-06-22 16:29:48,4,15,6,6,0,0,0,0,0
778,2017-06-22 16:29:33,5,15,7,6,1,0,0,0,0
747,2017-06-22 16:17:23,2,15,5,5,0,0,0,0,0
752,2017-06-22 16:17:17,3,15,6,5,0,0,0,1,0
751,2017-06-22 16:09:53,0,17,4,4,0,0,0,0,0
748,2017-06-22 16:09:47,1,17,5,4,0,0,0,1,0
775,2017-06-22 16:05:31,0,18,3,2,0,0,0,1,0
776,2017-06-22 16:05:27,1,18,4,2,1,0,0,1,0
768,2017-06-22 16:02:15,0,19,3,2,1,0,0,0,0
769,2017-06-22 16:02:11,1,19,4,2,2,0,0,0,0
749,2017-06-22 16:01:43,0,18,4,2,2,0,0,0,0
750,2017-06-22 16:01:36,1,18,5,2,2,0,0,1,0
754,2017-06-22 15:57:43,2,19,5,2,2,0,0,1,0
753,2017-06-22 15:57:08,2,20,5,2,2,0,0,1,0
764,2017-06-22 15:57:08,2,20,5,2,2,0,0,1,0
772,2017-06-22 15:57:02,2,19,5,2,2,0,0,1,0
758,2017-06-22 15:56:33,3,19,6,2,3,0,0,1,0
771,2017-06-22 15:56:33,3,19,6,2,3,0,0,1,0
683,2017-06-22 15:50:34,1,19,4,2,2,0,0,0,0
680,2017-06-22 15:50:07,2,19,5,2,2,0,0,1,0
686,2017-06-22 15:50:07,2,19,5,2,2,0,0,1,0
679,2017-06-22 15:49:32,2,19,4,2,1,0,0,1,0
676,2017-06-22 15:47:47,2,19,4,2,1,0,0,1,0
565,2017-06-22 15:47:15,2,18,4,2,1,0,0,1,0
566,2017-06-22 15:47:12,3,18,5,2,1,1,0,1,0
674,2017-06-22 15:47:12,3,18,5,2,1,1,0,1,0
675,2017-06-22 15:47:12,3,18,5,2,1,1,0,1,0
665,2017-06-22 15:46:37,2,18,5,2,1,1,0,1,0
759,2017-06-22 15:37:20,4,18,3,2,0,1,0,0,0
761,2017-06-22 15:37:16,5,18,4,2,0,2,0,0,0
730,2017-06-22 15:34:23,5,19,4,2,0,2,0,0,0
731,2017-06-22 15:34:21,6,19,5,2,1,2,0,0,0
732,2017-06-22 15:33:11,6,19,5,2,1,2,0,0,0
733,2017-06-22 15:32:36,5,19,5,2,1,2,0,0,0
734,2017-06-22 15:32:36,5,19,5,2,1,2,0,0,0
735,2017-06-22 15:32:01,5,19,5,2,1,2,0,0,0
766,2017-06-22 15:30:50,5,19,5,2,1,2,0,0,0
765,2017-06-22 15:30:15,5,18,6,2,1,2,0,1,0
736,2017-06-22 15:27:20,5,17,4,2,1,1,0,0,0
737,2017-06-22 15:26:45,5,17,4,2,1,1,0,0,0
738,2017-06-22 15:26:45,5,17,4,2,1,1,0,0,0
739,2017-06-22 15:26:10,6,17,4,2,1,1,0,0,0
740,2017-06-22 15:23:50,8,17,4,2,1,1,0,0,0
742,2017-06-22 15:23:15,7,17,4,2,1,1,0,0,0
743,2017-06-22 15:23:15,7,17,4,2,1,1,0,0,0
