analyst,quality_score_sourcing,quality_score_writing,assigned_job,accepted_job,declined_job,action,request,request_created_at,job,event_occured_at,wait_time_min,waiting_for,analysts_available,analysts_occupied,total_jobs_available,review_jobs_available,vetting_jobs_avaiable,planning_jobs_available,editing_jobs_available,sourcing_jobs_available,writing_jobs_available
9fcbc63ff4c8bea5cea4efad782c87cf,5.0,5.0,0,1,0,Accepted Job,594bec5c95e2ce005840c23a,2017-06-22 12:12:12,review,2017-06-22 19:59:06,1,review,0,13,14,4,6,2,0,1,1
9fcbc63ff4c8bea5cea4efad782c87cf,5.0,5.0,1,0,0,Assigned Job,594bec5c95e2ce005840c23a,2017-06-22 12:12:12,review,2017-06-22 19:59:02,1,review,1,13,15,5,6,2,0,1,1
85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,0,0,1,Declined Job,594bec83fd2cf400280aa965,2017-06-22 12:12:51,writing,2017-06-22 19:51:30,9,"sourcing, writing",1,12,12,5,5,1,0,0,1
0e9802516f8a79dd0d45211dd4ee74af,4.5,4.5,0,1,0,Accepted Job,594c1f5cd7e68f0028c9062c,2017-06-22 15:49:48,sourcing,2017-06-22 19:51:01,1,"sourcing, writing",1,11,12,5,5,1,0,0,1
85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,1,0,0,Assigned Job,594bec83fd2cf400280aa965,2017-06-22 12:12:51,writing,2017-06-22 19:50:58,8,"sourcing, writing",2,11,14,5,5,2,0,1,1
0e9802516f8a79dd0d45211dd4ee74af,4.5,4.5,1,0,0,Assigned Job,594c1f5cd7e68f0028c9062c,2017-06-22 15:49:48,sourcing,2017-06-22 19:50:58,1,"sourcing, writing",2,11,14,5,5,2,0,1,1
85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,0,0,1,Declined Job,594bec83fd2cf400280aa965,2017-06-22 12:12:51,writing,2017-06-22 19:50:58,8,"sourcing, writing",2,11,14,5,5,2,0,1,1
85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,1,0,0,Assigned Job,594bec83fd2cf400280aa965,2017-06-22 12:12:51,writing,2017-06-22 19:50:23,8,"sourcing, writing",1,11,14,5,5,2,0,1,1
85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,0,1,0,Accepted Job,594c1e983b593b00281250ba,2017-06-22 15:46:32,sourcing,2017-06-22 19:47:03,4,"sourcing, writing",1,11,11,5,5,1,0,0,0
85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,1,0,0,Assigned Job,594c1e983b593b00281250ba,2017-06-22 15:46:32,sourcing,2017-06-22 19:46:56,4,"sourcing, writing",2,12,13,5,5,2,0,1,0
a09c8906073b4c0b75e3100b857b982a,5.0,5.0,0,1,0,Accepted Job,594bec5b95e2ce005840c232,2017-06-22 12:12:11,review,2017-06-22 19:44:03,1,"review, planning, editing, sourcing, writing",1,10,11,5,5,1,0,0,0
a09c8906073b4c0b75e3100b857b982a,5.0,5.0,1,0,0,Assigned Job,594bec5b95e2ce005840c232,2017-06-22 12:12:11,review,2017-06-22 19:44:01,1,"review, planning, editing, sourcing, writing",2,10,12,6,5,1,0,0,0
0e9802516f8a79dd0d45211dd4ee74af,4.5,4.5,0,1,0,Accepted Job,594bec83fd2cf400280aa965,2017-06-22 12:12:51,writing,2017-06-22 19:40:41,1,"sourcing, writing",2,9,12,6,5,1,0,0,0
0e9802516f8a79dd0d45211dd4ee74af,4.5,4.5,1,0,0,Assigned Job,594bec83fd2cf400280aa965,2017-06-22 12:12:51,writing,2017-06-22 19:40:37,1,"sourcing, writing",3,9,13,6,5,1,0,0,1
710dbda77cade1eced9c735c08e6e38d,5.0,5.0,0,1,0,Accepted Job,594c41ab1e24bf00350a1f11,2017-06-22 18:16:11,vetting,2017-06-22 19:35:59,1,vetting,2,11,10,5,4,1,0,0,0
710dbda77cade1eced9c735c08e6e38d,5.0,5.0,1,0,0,Assigned Job,594c41ab1e24bf00350a1f11,2017-06-22 18:16:11,vetting,2017-06-22 19:35:56,1,vetting,3,11,11,5,5,1,0,0,0
c033808b89b50e6f550caf266470f090,4.9,4.9,0,1,0,Accepted Job,594c151273dd9c002873cd98,2017-06-22 15:05:54,sourcing,2017-06-22 19:31:18,1,"editing, sourcing, writing",2,10,11,5,5,1,0,0,0
c033808b89b50e6f550caf266470f090,4.9,4.9,1,0,0,Assigned Job,594c151273dd9c002873cd98,2017-06-22 15:05:54,sourcing,2017-06-22 19:31:15,1,"editing, sourcing, writing",2,10,13,5,5,2,0,1,0
710dbda77cade1eced9c735c08e6e38d,5.0,5.0,0,1,0,Accepted Job,594c41ab1e24bf00350a1f11,2017-06-22 18:16:11,vetting,2017-06-22 19:25:28,1,"vetting, sourcing",1,12,10,5,4,1,0,0,0
710dbda77cade1eced9c735c08e6e38d,5.0,5.0,1,0,0,Assigned Job,594c41ab1e24bf00350a1f11,2017-06-22 18:16:11,vetting,2017-06-22 19:25:25,1,"vetting, sourcing",2,12,11,5,5,1,0,0,0
d8e25a290ea51352bf9100a99c475f6d,5.0,5.0,0,1,0,Accepted Job,594c41482c137900353e0fea,2017-06-22 18:14:32,vetting,2017-06-22 19:20:23,1,vetting,1,14,8,3,4,1,0,0,0
d8e25a290ea51352bf9100a99c475f6d,5.0,5.0,1,0,0,Assigned Job,594c41482c137900353e0fea,2017-06-22 18:14:32,vetting,2017-06-22 19:20:09,1,vetting,2,14,9,3,5,1,0,0,0
