record,request,request_created_at,job,event_occured_at,wait_time_min,waiting_for
1,59480d57e759070028da6467,2017-06-19 13:43:51,review,2017-06-21 21:50:31,1,"review, planning, editing, sourcing, writing"
2,59480d57e759070028da6467,2017-06-19 13:43:51,review,2017-06-21 21:26:17,1,review
3,59480d57e759070028da6467,2017-06-19 13:43:51,review,2017-06-21 21:27:19,2,review
4,59480d57e759070028da6467,2017-06-19 13:43:51,review,2017-06-21 21:26:52,2,review
5,59480d57e759070028da6467,2017-06-19 13:43:51,review,2017-06-21 21:26:52,2,review
6,59480d57e759070028da6467,2017-06-19 13:43:51,review,2017-06-21 21:50:30,1,"review, planning, editing, sourcing, writing"
7,59485c262e71030033104e3c,2017-06-19 19:20:06,review,2017-06-22 06:19:35,1,"review, vetting, editing, sourcing, writing"
8,59485c262e71030033104e3c,2017-06-19 19:20:06,review,2017-06-22 06:19:33,1,"review, vetting, editing, sourcing, writing"
9,59485c262e71030033104e3c,2017-06-19 19:20:06,sourcing,2017-06-21 21:26:19,1,sourcing
10,59485c262e71030033104e3c,2017-06-19 19:20:06,writing,2017-06-22 05:04:04,1,"sourcing, writing"
11,59485c262e71030033104e3c,2017-06-19 19:20:06,writing,2017-06-22 04:51:04,1,"sourcing, writing"
12,59485c262e71030033104e3c,2017-06-19 19:20:06,writing,2017-06-22 04:50:59,1,"sourcing, writing"
13,59485c262e71030033104e3c,2017-06-19 19:20:06,source review,2017-06-22 01:39:39,1,"review, planning, editing, sourcing, writing"
14,59485c262e71030033104e3c,2017-06-19 19:20:06,source review,2017-06-22 01:39:30,1,"review, planning, editing, sourcing, writing"
15,59485c262e71030033104e3c,2017-06-19 19:20:06,writing,2017-06-22 05:04:00,1,"sourcing, writing"
16,59485c262e71030033104e3c,2017-06-19 19:20:06,sourcing,2017-06-21 21:26:17,1,sourcing
17,59486e7af5874900429ce273,2017-06-19 20:38:18,review,2017-06-21 21:18:06,1,review
18,59486e7af5874900429ce273,2017-06-19 20:38:18,review,2017-06-21 21:18:10,1,review
19,5949462dd9ae5200633f9640,2017-06-20 11:58:37,editing,2017-06-21 22:03:13,5,editing
20,5949462dd9ae5200633f9640,2017-06-20 11:58:37,editing,2017-06-21 22:03:02,5,editing
21,5949462dd9ae5200633f9640,2017-06-20 11:58:37,review,2017-06-21 21:21:06,1,"review, editing, sourcing, writing"
22,5949462dd9ae5200633f9640,2017-06-20 11:58:37,review,2017-06-21 21:25:06,1,review
23,5949462dd9ae5200633f9640,2017-06-20 11:58:37,review,2017-06-21 21:21:01,1,"review, editing, sourcing, writing"
24,5949462dd9ae5200633f9640,2017-06-20 11:58:37,review,2017-06-21 21:25:09,1,review
25,59494c13d9ae5200633f9695,2017-06-20 12:23:47,review,2017-06-21 22:00:10,1,"review, planning, editing, sourcing, writing"
26,59494c13d9ae5200633f9695,2017-06-20 12:23:47,review,2017-06-21 22:00:07,1,"review, planning, editing, sourcing, writing"
27,5949a81c4d1319005556396c,2017-06-20 18:56:28,review,2017-06-22 05:46:09,1,"review, vetting, editing, sourcing, writing"
28,5949a81c4d1319005556396c,2017-06-20 18:56:28,review,2017-06-22 05:37:10,1,review
29,5949a81c4d1319005556396c,2017-06-20 18:56:28,review,2017-06-22 05:37:07,1,review
30,5949a81c4d1319005556396c,2017-06-20 18:56:28,writing,2017-06-22 02:05:27,1,writing
31,5949a81c4d1319005556396c,2017-06-20 18:56:28,writing,2017-06-22 02:05:22,1,writing
32,5949a81c4d1319005556396c,2017-06-20 18:56:28,editing,2017-06-22 13:16:17,1,"editing, writing"
33,5949a81c4d1319005556396c,2017-06-20 18:56:28,review,2017-06-22 05:46:13,1,"review, vetting, editing, sourcing, writing"
34,5949a81c4d1319005556396c,2017-06-20 18:56:28,writing,2017-06-22 05:53:43,1,"review, vetting, editing, sourcing, writing"
35,5949a81c4d1319005556396c,2017-06-20 18:56:28,sourcing,2017-06-21 23:01:59,1,sourcing
36,5949a81c4d1319005556396c,2017-06-20 18:56:28,sourcing,2017-06-21 23:02:01,1,sourcing
37,5949a81c4d1319005556396c,2017-06-20 18:56:28,editing,2017-06-22 13:16:28,1,"editing, writing"
38,5949a81c4d1319005556396c,2017-06-20 18:56:28,source review,2017-06-22 00:58:58,1,"review, planning, editing, sourcing, writing"
39,5949a81c4d1319005556396c,2017-06-20 18:56:28,writing,2017-06-22 06:01:39,1,writing
40,5949a81c4d1319005556396c,2017-06-20 18:56:28,review,2017-06-21 20:21:32,1,"review, editing, sourcing, writing"
41,5949a81c4d1319005556396c,2017-06-20 18:56:28,review,2017-06-21 20:21:39,1,"review, editing, sourcing, writing"
42,5949a81c4d1319005556396c,2017-06-20 18:56:28,editing,2017-06-22 12:46:09,1,editing
43,5949a81c4d1319005556396c,2017-06-20 18:56:28,editing,2017-06-22 12:46:02,1,editing
